5401;GPS;camera;Sat 12 Dec 2009 05:31:22 +0000;Droid;(2.0.1);gps;coordinates;not;saved;with;picture;created;using;inbox;camera;Device;:;Motorola;Droid.;Firmware;Android;2.0.1;took;a;picture;using;the;built;in;camera;application;-0;Store;Location;(ON);-0;Uploaded;to;picassa;GPS;coordinates;were;not;available;in;the;picture;Expected;result:;GPS;tags;(latitude;and;longitude);should;have;been;available;in;the;metadata;of;the;picture.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6189;notification;display;UI;Thu 21 Jan 2010 22:13:05 +0000;Motorola;Droid;the LED notification light on the Motorola Droid has the ability to turn at least both Green and Blue. it would be a great feature to allow users to set the color of the light depending on what type of notifications are pending (for example green for missed email blue for missed calls). additionally i feel that the frequency of blinks is too slow. (about 1 blink per two seconds) itQ'Es just a hair to slow to be able to safely glance down at the phone while driving or to walk by the phone if its sitting on your desk. i think the frequency of the blink should be doubled and perhaps the length of time the light is on can be halved so that there is no additional battery usage. Motorola Droid 2.0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11704;upgrade;headset;system;Tue 05 Oct 2010 13:37:38 +0000;Droid;X;"Using a stock 2.1 Droid X I could use my wired Motorola headset (S205/SYN1302A) to initiate the voice command menu. For example I could press the button on the wired headset and start a phone call (e.g. by saying Q""ECall John Smith WorkQ""E). Following the 2.2 update however pressing the button on the wired headset no longer initiates the voice command menu; instead it starts the music player. Pressing the button again stops the music player. However no amount of pressing or holding the button initiates the voice command menu. Interestingly if I receive an incoming call  I still can press the button on the wired headset to answer it; however when the call is over the music player starts. Other individuals have reported the same problems and the problems persisted even after using replacement wired headsets and Droid Xs from Verizon/Motorola. See here for more details: - https://supportforums.motorola.com/message/250259 - http://www.droidforums.net/forum/droid-x-general-discussions/82973-2-2-update-breaks-wired-headset.html";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9717;audio;UI;Mon 12 Jul 2010 15:40:29 +0000;Motorola;Droid;"Overall IQ'Ed say Android OS is an awesome platform! I was an iPhone user and loved my iPhone but ATQ&ET just doesnQ'Et have the coverage I need so I dropped and went to Verizon. I picked up the Motorola Droid A855 and I have been very impressed. There are some features that it still lacks I think to get it on par with the user community. One that is very important to me is the Media Player app. I have a few issues with it that IQ'Ed like to point out. 1. One thing that is very annoying is that if you have a series of MP3Q'Es that are numbered letQ'Es say from 62000 to 62075 the media player doesnQ'Et sort them numerically (62001 62002 62003 62004...). Instead you get something like this...(62001 62010 62020 62032 62043 62056 62066 62002 62011 62021 62033 62044 62057...). This is very annoying particularly in this case as this is an audio book. So you canQ'Et just add the files and play them in order and I have found no easy way to SORT. 2. You need to add some sort of equalizer presets to change the audio (rock pop voice etc). 3. You need to add a volume leveling option that will try to keep the volume levels for all your music files constant rather than some tracks being super loud and some being very quiet. 4. The Shuffle feature needs better logic. It doesnQ'Et shuffle through all the tracks in a playlist and it also replays tracks even if you have Repeat turned off. IQ'Em very big on music and media so these are things I use daily. I get frustrated many times with the Droid in that area. Make the phone robust for the Q""EtechiesQ""E but also make it do the cool stuff really well too. Do that and youQ'Ell be untouchable! Right now I still have to give my #1 pick to the iPhone and that is one of the major reasons. Might seem trivial but to me itQ'Es not. NOTE: This form is only for requesting new features in Android. For all discussions please visit: http://groups.google.com/group/android-discuss Please describe the feature youQ'Ere requesting in as much detail as possible. If youQ'Ere an application developer and are requesting new APIs please include sample code showing how you are proposing the API should be used.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7709;lock;calling;Tue 13 Apr 2010 22:11:15 +0000;Motorola;Droid;Motorola Droid Android 2.1 - Make a call - Put phone to ear - Screen should lock due to proximity sensor Seems more like a hardware issue but the Google Voice app should have an option for a drag lock as well as a proximity lock. One would think using the screen lock button would help this but it doesnQ'Et. Even after using the screen lock button placing the phone to the ear and pulling it away unlocks the screen and part of the problem with the droid sensor is hair or to much ambient light can trigger the screen to activate even when the phone is still near the face. Short of hardware working 100% of the time every time the software should have itQ'Es own safeguards in place to allow us users to use a different lock mechanism other then the proximity sensor.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6659;calendar;synchronize;Mon 15 Feb 2010 14:02:38 +0000;Motorola;Milestone;Bug when the android calendar is synchronised with an MS exchange server: - The dates for (and only for) whole day repetitive events (created like that in outlook) appear with a false date (one day ahead) on an android 2.0.1 Motorola Milestone. - I found this bug when I looked at a birthday. The date is one day ahead this is a repetitive yearly whole day event in outlook. - I have other birthdays which are displayed with the correct date but a few of them are displayed whith a wrong date (one day ahead). - I have no problem with standard events. - The bug is reproducible I erased all my entries restored my exchange calendar and synchronised again the date is still wrong. Denis Rochat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7163;message;Mon 15 Mar 2010 11:19:10 +0000;motorola;droid;I have a motorola droid with 2.0 on it. IQ'Eve been randomly getting some text messages twice. Looking on my Verizon account I know theyQ'Ere only coming through the network once which leads me to believe it may be a problem with the messaging app. There is no way to reproduce it and it isnQ'Et linked to a specific person. IQ'Eve tried pulling the battery but that didnQ'Et help. I recently reset my phone and I think that may be when it got worse.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7898;dialing;input;Wed 21 Apr 2010 20:14:32 +0000;Motorola;Droid;"I am running Android OS 2.1 on a Motorola Droid If you have a number in your contacts that contain multiple pauses the pauses are not working right. For example: 111-111-1111 pp 111 The pause may be shorter than the 4 seconds or it may be much longer. I have had it had happen as soon as the number finished dialing and I have had it wait as long as 25 seconds..... I would think that the pause would be 4 seconds with 2 pauses back to back. Shawn Huston NOTE: This form is only for reporting user bugs in 2.1. For all other user discussions please visit: http://groups.google.com/group/android-discuss Please describe the problem in detail. Be sure to include: - Steps to reproduce the problem. - What happened. - What you think the correct behavior should be. DonQ'Et forget to mention which device you have making sure that it runs Android 2.1. If you happen to have a development environment please also run Q""Eadb bugreportQ""E and archive the output as it could help diagnose the problem.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11898;time;calendar;GPS;Fri 15 Oct 2010 18:33:19 +0000;Motorola;Milestone;"The first day of week is wrong for the brazilian portuguese locale. The current (wrong) first day of week is Monday. The right first day of week is Sunday. I have stated this problem on two devices: the brazilian Motorola Milestone and an HTC Hero running a CyanogenMod based build (Android 2.2). It seems that the Calendar app gets the first day of week from the java.util.Calendar class as stated here (search for the Q""EgetFirstDayOfWeekQ""E method): http://android.git.kernel.org/?p=platform/packages/apps/Calendar.git;a=blob_plain;f=src/com/android/calendar/Utils.java;hb=HEAD";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10898;calling;display;upgrade;Tue 31 Aug 2010 14:30:11 +0000;Motorola;Droid;Upon reeving a call on my Motorola Droid the sliders for answer or Ignore are always come up as showing the phone is in landscape mode when it is not. This started with the 2.2 update. Even under a controlled test where I make sure the phone is vertical and call from my house phone the sliders still show up as if the phone was in landscape mode.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10011;calling;app;Mon 26 Jul 2010 15:51:28 +0000;Motorola;Droid;"When I try to send touch tones to a system such as google voice by calling my google voice number directly the tones sent are much too fast. Even if I set the DTMF tones to Q""ELongQ""E. The exact steps to reproduce this error are to try dialing a number like 555-123-45672555-987-6543# The phone connects to the first number fine and sends the 2 but the second number is sent too fast for the system on the other end to register the tones. This error occurs on a Motorola Droid A855 running android OS 2.1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6107;calendar;synchronize;Sun 17 Jan 2010 17:02:44 +0000;Motorola;Droid;"Steps to reproduce the problem. Turn on auto-sync. What happened Google Calendar application will try to sync constantly. This can be monitored in the Settings -Q>E Applications -Q>E Running Services screen. CalendarSyncAdapterService runs continuously and the timer counts up to approximately 20 seconds and then resets. This can also be verified by going to the Settings -Q>E Accounts and Sync -Q>E my account -Q>E and then individually syncing Contacts Gmail and Calendar. Contacts and Gmail sync within 5 seconds. Calendar runs forever until I click Menu -Q>E Cancel Sync. There is then an error Q""ESync is currently experiencing problems. It will be back shortly.Q""E Because I have to disable auto-sync I now have to manually check for new email (no push service). Also the continuous running of Calendar Sync drains the battery extremely quickly. This began happening on Jan 14th around 8pm EST. I installed the WaveSecure app that day. A couple hours after installing the application my phone shut down on its own. After rebooting the phone I noticed this sync problem. This may be a coincidence but I donQ'Et think anything else changed that would have suddenly caused this sync problem. What you think the correct behavior should be. Calendar should sync within 5 seconds and the Sync service should not run continuously. Device: Motorola Droid Firmware: 2.0.1 Baseband: C_01.3E.01P Kernel: 2.6.29-omap1-g0dd7e0b android-build@apa26 #511 Build: ESD56";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7946;display;notification;Sat 24 Apr 2010 11:04:33 +0000;Motorola;Droid;"Motorola Droid 2.1-update1 I have absolutely no LED lights for SMS/MMS or any other app that calls for the LED to flash. With v2.0.1 everything worked well. Now...nothing. This is not another Q""Ebring back the LED for screen-onQ""E complaint. Even when screen is off whether just turned off or has been off for several minutes/hours. Any notification I get has NO LED FLASHING. I made sure all the obvious options were correct when enabling LEDs with 3rd party apps so there is no issue with those. I even went to Verizon and they flashed 2.0.1 back onto the phone and miraculously it worked again. Updated to 2.1 and nothing works for LEDs. They would not exchange phones because they said it is a software issue. They tested the hardware any everything meets specs.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7186;audio;Tue 16 Mar 2010 10:28:34 +0000;Motorola;Droid;"For certain MP3 files the MediaPlayer of Android 2.1 (tested: Nexus One and Emulator) is not calling the onPrepared() state - at least sometimes. It works without problems on Android 1.6 (tested on G1). I attached an example. I uploaded one of the affected MP3 files to: http://marcreichelt.de/misc/android/test.mp3 I will leave it there until this bug is closed. The music is from Kyle Gabler: http://kylegabler.com/WorldOfGooSoundtrack/ (just for the reference) Steps to reproduce: 1. Create an Android 1.6 test project 2. Create a media player instance 3. Set the OnPreparedListener and call mediaPlayer.start() there 4. Set the data source to the URL shown above 5. Call prepareAsync() 6. The problem: onPrepared() sometimes is not called leaving the MediaPlayer in the transient Q""EPreparingQ""E state. Try to restart the activity until you get the error. Maybe you will have to set your network speed to Q""EGPRSQ""E. I also wrote a mail to the android-developers mailing list just FYI: http://groups.google.com/group/android-developers/browse_thread/thread/4beebeff7badc47c/9240020a88ef66ae According to Mark Murphy the Motorola Droid also seems to be affected. so I guess Android 2.0 2.0.1 and 2.1 are affected.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10108;upgrade;Fri 30 Jul 2010 21:40:01 +0000;motorola;cliq;I bought my phone (motorola cliq) and so far I donQ'Et know if it will receive an update to Froyo and therefore have a better performance (Android 1.5 performance is really poor compared to Froyo). I like Android but I feel that if Android phones are not receiving an update to recent OS versions in the next 18 months it might be better to avoid them. Google please support us and ask phone producers to update every recent (recent equals at least one year based on the fact that most phones are bought with a two year contract) phone they have produced.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8071;image;app;Sat 01 May 2010 13:57:43 +0000;Motorola;Droid;"Opening the Gallery application selecting both image/* and video/* items and using the Q""EShareQ""E function to send the items to another application results in only the video/* items being sent. IQ'Ed include sample code but this is perfectly reproducible using the included gmail application. What to do: - Open the Gallery application - Select an image file and a video file using the checkboxes - Click Q""EShareQ""E and select the gmail client What happens: - Only the video file is attached to the message What should happen: - Both the video file and the image file should be attached to the message Selecting one or more image files OR one or more video files using the checkboxes and clicking Q""EShareQ""E correctly dispatches an ACTION_SEND or ACTION_SEND_MULTIPLE intent. Selecting image file and video files together causes an intent to be dispatched only for the video files. By selecting both images and videos the user is clearly demonstrating an intention to share both image and video files. The intent dispatched should be consistent with that. Observed on a Motorola Droid running Android 2.1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11420;UI;Thu 23 Sep 2010 09:50:22 +0000;Moto;Droid;Please provide an on-screen widget to enable/disable the search button or key on the exterior face of the Motorola Droid. If you accidentally brush the search button it interrupts whatever function you are doing. IQ'Eve been in the middle of taking pictures making a phone call checking voicemail using speakerphone writing email using google maps navigation etc and a slight stray tap of that external search button can derail the activity. In particular the position of the external search button in the lower right corner is almost impossible to avoid when using the camera. Major annoyance. Thanks.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9246;image;system;Tue 22 Jun 2010 05:19:48 +0000;Motorola;DROID;-0;Steps;to;reproduce;the;problem.;1;Change;wallpaper;to;Galaxy;live;wallpaper.;2;Keep;clicking;the;status;bar;for;several;times(at;least;30;times).;3;Galaxy;live;wallpaper;will;crash.;-0;What;happened.;The;Gallaxy;live;wallpaper;crashed.;I;have;Motorola;DROID;tested;with;this;problem.;This;problem;happened;not;only;with;the;Galaxy;wallpaper;but;also;with;other;live;wallpapers.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
